freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,LV,2020-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,LV,2021-01-01,71
A,VI_PPS_EU27_2020_HAB,GDP,LV,2022-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,LV,2023-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,LV,2024-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,LV,2025-01-01,71
A,VI_PPS_EU27_2020_HAB,GDP,ME,2014-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,ME,2015-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,ME,2016-01-01,44
A,VI_PPS_EU27_2020_HAB,GDP,ME,2017-01-01,45
A,VI_PPS_EU27_2020_HAB,GDP,ME,2018-01-01,47
A,VI_PPS_EU27_2020_HAB,GDP,ME,2019-01-01,49
A,VI_PPS_EU27_2020_HAB,GDP,ME,2020-01-01,44
A,VI_PPS_EU27_2020_HAB,GDP,ME,2021-01-01,46
A,VI_PPS_EU27_2020_HAB,GDP,ME,2022-01-01,48
A,VI_PPS_EU27_2020_HAB,GDP,ME,2023-01-01,52
A,VI_PPS_EU27_2020_HAB,GDP,ME,2024-01-01,53
A,VI_PPS_EU27_2020_HAB,GDP,MK,2014-01-01,39
A,VI_PPS_EU27_2020_HAB,GDP,MK,2015-01-01,39
A,VI_PPS_EU27_2020_HAB,GDP,MK,2016-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,MK,2017-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,MK,2018-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,MK,2019-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,MK,2020-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,MK,2021-01-01,43
A,VI_PPS_EU27_2020_HAB,GDP,MK,2022-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,MK,2023-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,MK,2024-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,MT,2014-01-01,94
A,VI_PPS_EU27_2020_HAB,GDP,MT,2015-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,MT,2016-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,MT,2017-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,MT,2018-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,MT,2019-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,MT,2020-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,MT,2021-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,MT,2022-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,MT,2023-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,MT,2024-01-01,110
A,VI_PPS_EU27_2020_HAB,GDP,MT,2025-01-01,110
A,VI_PPS_EU27_2020_HAB,GDP,NL,2014-01-01,133
A,VI_PPS_EU27_2020_HAB,GDP,NL,2015-01-01,132
A,VI_PPS_EU27_2020_HAB,GDP,NL,2016-01-01,130
A,VI_PPS_EU27_2020_HAB,GDP,NL,2017-01-01,130
A,VI_PPS_EU27_2020_HAB,GDP,NL,2018-01-01,130
A,VI_PPS_EU27_2020_HAB,GDP,NL,2019-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,NL,2020-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,NL,2021-01-01,132
A,VI_PPS_EU27_2020_HAB,GDP,NL,2022-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,NL,2023-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,NL,2024-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,NL,2025-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,NO,2014-01-01,177
A,VI_PPS_EU27_2020_HAB,GDP,NO,2015-01-01,157
A,VI_PPS_EU27_2020_HAB,GDP,NO,2016-01-01,145
A,VI_PPS_EU27_2020_HAB,GDP,NO,2017-01-01,150
A,VI_PPS_EU27_2020_HAB,GDP,NO,2018-01-01,156
A,VI_PPS_EU27_2020_HAB,GDP,NO,2019-01-01,146
A,VI_PPS_EU27_2020_HAB,GDP,NO,2020-01-01,141
A,VI_PPS_EU27_2020_HAB,GDP,NO,2021-01-01,171
A,VI_PPS_EU27_2020_HAB,GDP,NO,2022-01-01,214
A,VI_PPS_EU27_2020_HAB,GDP,NO,2023-01-01,169
A,VI_PPS_EU27_2020_HAB,GDP,NO,2024-01-01,160
A,VI_PPS_EU27_2020_HAB,GDP,PL,2014-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,PL,2015-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,PL,2016-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,PL,2017-01-01,70
